START;TXNR;TXEND;CRDALD;LKUPSRC;PANSCM;CRDVAL;CRDTYP;CTYP;EMVPOS;PINENT;PINEND;TXMNU;TXSEL;TXTYP;TXID;AMTSEL;AMTDEN;AMTQCK;AMTMAN;AMTPRE;CSHINS;CSHCNT;CSHCNT_NOTES;CSHCNT_COINS;DNMLVL;CSHCTD;BKTTXT;CSHCFD;CSHBKD;TFRSTD;TFRBKD;ORGN;SCNINS;SCNPRG;SCNSHW;SCNTKN;SCNCFM;SCNCFD;SCNEND;CSHDPG;CRDSHW;CRDTKN;CSHDPD;CSHDPD_NOTES;CSHDPD_COINS;CSHOUT;CSHSHW;CSHTKN;CSHRJD;CSHRTD;DNMSEL;DOCPRG;DOCSHF;DOCEJB;DOCPRD;PGES;DOCSHW;DOCEJD;RCPPRG;RCPPRD;RCPEJD;STATE;TXTMSTMP;DPL_ENCC;DPL_DISCC;DPL_RETCC;DPL_REACC;LPL_GCCI;EPL_CHKEMV;EPL_CHKEMV_ICC_CMD_0;EPL_CHKEMV_ICC_CMD_1;EPL_CHKEMV_ICC_CMD_2;EPL_CHKEMV_ICC_CMD_3;EPL_CHKEMV_ICC_CMD_4;EPL_CHKEMV_ICC_CMD_5;EPL_CHKEMV_ICC_CMD_6;EPL_CHKEMV_ICC_CMD_7;EPL_CHKEMV_ICC_CMD_8;EPL_CHKEMV_ICC_CMD_9;EPL_CHKEMV_ICC_CMD_10;EPL_CHKEMV_ICC_CMD_11;EPL_CHKEMV_ICC_CMD_12;EPL_CHKEMV_ICC_CMD_13;EPL_CHKEMV_ICC_CMD_14;EPL_CHKEMV_ICC_CMD_15;EPL_CHKEMV_ICC_CMD_16;EPL_CHKEMV_ICC_CMD_17;EPL_CHKEMV_ICC_CMD_18;EPL_CHKEMV_ICC_CMD_19;EPL_CHKEMV_ICC_CMD_20;PF_EPL_CHKBLD;EPL_ITX;EPL_ITXAC;EPL_IAPP;EPL_IAPP_ICC_CMD_0;EPL_IAPP_ICC_CMD_1;EPL_IAPP_ICC_CMD_2;EPL_IAPP_ICC_CMD_3;EPL_IAPP_ICC_CMD_4;EPL_IAPP_ICC_CMD_5;EPL_IAPP_ICC_CMD_6;EPL_IAPP_ICC_CMD_7;EPL_IAPP_ICC_CMD_8;EPL_IAPP_ICC_CMD_9;EPL_IAPP_ICC_CMD_10;EPL_IAPP_ICC_CMD_11;EPL_IAPP_ICC_CMD_12;EPL_IAPP_ICC_CMD_13;EPL_IAPP_ICC_CMD_14;EPL_IAPP_ICC_CMD_15;EPL_IAPP_ICC_CMD_16;EPL_IAPP_ICC_CMD_17;EPL_IAPP_ICC_CMD_18;EPL_IAPP_ICC_CMD_19;EPL_IAPP_ICC_CMD_20;EPL_IAPP1;EPL_IAPP2;EPL_GPTRY;EPL_GPTRY_ICC_CMD_0;EPL_PAUT;EPL_PAUT_ICC_CMD_0;EPL_PAUTTX;EPL_PAUTCU;EPL_PAUTAL;EPL_VAUT;EPL_VAUT_ICC_CMD_0;EPL_CAUT;EPL_CAUT_ICC_CMD_0;EPL_CAUT_ICC_CMD_1;EPL_CAUT_ICC_CMD_2;EPL_CAUT_ICC_CMD_3;EPL_CAUT_ICC_CMD_4;EPL_CAUT_ICC_CMD_5;EPL_CAUT_ICC_CMD_6;EPL_GASEL;EPL_GTXLG;EPL_GTXLG_ICC_CMD_0;EPL_GTXLG_ICC_CMD_1;EPL_GTXLG_ICC_CMD_2;EPL_GTXLG_ICC_CMD_3;EPL_GTXLG_ICC_CMD_4;EPL_GTXLG_ICC_CMD_5;EPL_GTXLG_ICC_CMD_6;EPL_GTXLG_ICC_CMD_7;EPL_GTXLG_ICC_CMD_8;EPL_GTXLG_ICC_CMD_9;EPL_GTXLG_ICC_CMD_10;EPL_GAUTD;EPL_GCNFD;EPL_GKOD;EPLO_PREP;EPLO_VERY;EPLO_VERY_ICC_CMD_0;EPLO_VERY_ICC_CMD_1;EPLO_VERY_ICC_CMD_2;EPLO_VALI;EPLO_VALI_ICC_CMD_0;AT_LPL_GCCI;AT_EPL_IAPP1;AT_EPL_IAPP2;AT_EPL_CAUT;CH_LPL_GCCI;CH_EPL_IAPP1;CH_EPL_IAPP2;CH_EPL_CAUT;CH_EPLO_PREP;CH_EPLO_PREP_ICC_CMD_0;CH_EPLO_PREP_ICC_CMD_1;CH_EPLO_PREP_ICC_CMD_2;CH_EPLO_VERY;CH_EPLO_VERY_ICC_CMD_0;CH_EPLO_VERY_ICC_CMD_1;CH_EPLO_VERY_ICC_CMD_2;CH_EPLO_VALI;CH_EPLO_VALI_ICC_CMD_0;PF_LPL_GCCI;PF_LPL_GCCCL;PF_LPL_GCCCL_ICC_CMD_0;PF_LPL_GCCCL_ICC_CMD_1;PF_LPL_GCCCL_ICC_CMD_2;PF_EPL_IAPP1;PF_EPL_IAPP2;PF_EPL_CAUT;PF_EPLO_PREP;PF_EPLO_PREP_ICC_CMD_0;PF_EPLO_PREP_ICC_CMD_1;PF_EPLO_PREP_ICC_CMD_2;DE_LPL_GCCI;DE_EPL_GCL;DE_EPL_GCNFD;DE_EPL_VAUT;DE_EPL_EMTX_INIT;DE_EPL_EMTX_INIT_ICC_CMD_0;DE_EPL_EMTX_INIT_ICC_CMD_1;DE_EPL_EMTX_INIT_ICC_CMD_2;DE_EPL_EMTX_INIT_ICC_CMD_3;DE_EPL_EMTX_INIT_ICC_CMD_4;DE_EPL_EMTX_INIT_ICC_CMD_5;DE_EPL_EMTX_AUT;DE_EPL_EMTX_CHK;DE_EPL_EMTX_CHK_ICC_CMD_0;DE_EPL_EMTX_CHK_ICC_CMD_1;DE_EPL_EMTX_CHK_ICC_CMD_2;DE_EPL_EMTX_CHK_ICC_CMD_3;DE_EPL_EMTX_CHK_ICC_CMD_4;DE_EPL_EMTX_CHK_ICC_CMD_5;DE_EPL_EMTX_RST;DE_EPL_EMTX_ABT;DE_EPL_EMTX_CPLT;DE_EPL_EMTX_CPLT_ICC_CMD_0;DE_EPL_EMTX_CPLT_ICC_CMD_1;DE_EPL_EMTX_CPLT_ICC_CMD_2;DE_EPL_OAS_PRE;DE_EPL_OAS_AVL;DE_EPL_OAS_POST;DE_EPL_OAS_POST_ICC_CMD_0;DE_EPL_OAS_POST_ICC_CMD_1;DE_EPL_OAS_POST_ICC_CMD_2;DE_EPL_OAS_POST_ICC_CMD_3;DE_EPL_OAS_POST_ICC_CMD_4;DE_EPL_OAS_POST_ICC_CMD_5;DE_EPL_OAS_POSTC;DE_EPL_OAS_POSTC_ICC_CMD_0;DE_EPL_OAS_POSTC_ICC_CMD_1;DE_EPL_OAS_POSTC_ICC_CMD_2;DE_EPL_OAS_ABT;IDPL_WRT1;IDPL_WRT1_ICC_CMD_0;IDPL_WRT1_ICC_CMD_1;IDPL_WRT1_ICC_CMD_2;IDPL_WRTA;IDPL_WRTA_ICC_CMD_0;IDPL_WRTA_ICC_CMD_1;IDPL_WRTA_ICC_CMD_2;IDPL_RD1F;IDPL_RD1F_ICC_CMD_0;IDPL_RD1F_ICC_CMD_1;IDPL_RD1F_ICC_CMD_2;IDPL_RDAF;IDPL_RDAF_ICC_CMD_0;IDPL_RDAF_ICC_CMD_1;IDPL_RDAF_ICC_CMD_2;IDPL_RDHC;IDPL_RDHC_ICC_CMD_0;IDPL_RDHC_ICC_CMD_1;IDPL_RDHC_ICC_CMD_2;IDPL_RDAD;IDPL_RDAD_ICC_CMD_0;IDPL_RDAD_ICC_CMD_1;IDPL_RDAD_ICC_CMD_2;IDPL_RDAD_ICC_CMD_3;IDPL_RDAD_ICC_CMD_4;IDPL_RDAD_ICC_CMD_5;IDPL_RDAD_ICC_CMD_6;DATE_KIXC;ERROR TYPE;TX ACTION;VISIT_TMSTMP;TS_START_CUSTOMER_VISIT;TS_END_CUSTOMER_VISIT;TS_CLEANUP;TS_RESET_DEVICES;TS_READ_CARD;TS_WRITE_CARD;TS_RETURN_CARD_0;TS_RETURN_CARD_1;TS_RETURN_CARD_2;TS_RETAIN_CARD;TS_START_CASH_DEPOSIT;TS_ROLLBACK_CASH_DEPOSIT;TS_END_CASH_DEPOSIT;TS_PREPARE_ACCEPT_CASH;TS_ACCEPT_CASH;TS_PRESENT_CASH;TS_DENOMINATE_CASH;TS_DISPENSE_CASH;TS_RETAIN_CASH;TS_ACCEPT_PIN_0;TS_ACCEPT_PIN_1;TS_ACCEPT_PIN_2;TS_COMPARE_PIN;TS_EJECT_RECEIPT;TS_PRINT_RECEIPT;TS_RETAIN_RECEIPT;TS_EJECT_DOCUMENTS;TS_PRINT_DOCUMENTS;TS_RETAIN_DOCUMENTS;TS_OPEN_CLOSE_INDICATOR;TS_PRINT_JOURNAL;TS_TAKE_PICTURES;TS_PALM_VAIN;
08.06.2022 14:26:40,000;;08.06.2022 14:26:57,836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16287;16405;;;;;;;;;;;;;;;;;;;;NOK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:26:47,044;CONTACTLESS_COMMUNICATION_ERROR;KIXCLC_READING_AND_CHECKING_CHIP_INFORMATION;08.06.2022 14:26:41,020;6;5;;;162;;176;;;;;;;;;;;;;;;;;;;;;;;95;;;;
08.06.2022 14:26:59,000;;08.06.2022 14:27:11,412;1882;;;___N;DOMESTIC;DOMESTIC;true;;;7109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1987;7008;;;;;;;;;;;;;;;;;;;;CNCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:27:08,357;CUSTOMER_CANCEL;CUSTOMER_SELECTING_TRANSACTION;08.06.2022 14:26:59,151;3;11;;;753;;60;;;;;;;;;;;;;;;;;;;;;;;79;;;;
08.06.2022 14:27:13,000;91;08.06.2022 14:27:46,426;4491;;;___N;DOMESTIC;DOMESTIC;true;6972;14021;5535;6608;WITHDRAWAL_NATIONAL;CashOutEmv;14527;;17472;;;;;;;;;;;;;;;;;;;;;;20166;4548;5418;26186;1;;26202;28875;31834;;;;;;;;;;;;;;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:27:13,219;4;3;;;462;;939;22;;;;;;;;631;;981;;19;;;;;;;;;;111;;;;
08.06.2022 14:27:47,000;92;08.06.2022 14:28:05,357;1857;;;___N;DOMESTIC;DOMESTIC;true;3014;4185;2307;2748;WITHDRAWAL_NATIONAL;CashOutEmv;4654;;6153;;;;;;;;;;;;;;;;;;;;;;7949;1915;2188;11539;1;;11543;14173;17144;;;;;;;;;;;;;;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:27:48,365;3;4;;;;;341;22;;;;;;;;600;;570;;159;;;;;;;;;;108;;;;
08.06.2022 14:28:07,000;93;08.06.2022 14:28:27,633;1667;;;___N;DOMESTIC;DOMESTIC;true;2698;4944;2293;2422;WITHDRAWAL_NATIONAL;CashOutEmv;5405;;6881;;;;;;;;;;;;;;;;;;;;;;;1725;2163;;;;;;;;;;;;;;;;;;;;CNCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:28:26,089;CUSTOMER_CANCEL;WAITING_FOR_CARD;08.06.2022 14:28:07,562;3;4;;;264;;517;24;;;;;;;;;;;;233;;;;;;;;;;78;;;;
08.06.2022 14:28:30,000;94;08.06.2022 14:28:49,138;1683;;;___N;DOMESTIC;DOMESTIC;true;3156;4808;2481;2923;WITHDRAWAL_NATIONAL;CashOutEmv;5268;;6785;;;;;;;;;;;;;;;;;;;;;;8671;1735;2369;12283;1;;12287;15025;17862;;;;;;;;;;;;;;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:28:30,087;3;3;;;679;;703;21;;;;;;;;574;;592;;640;;;;;;;;;;107;;;;
08.06.2022 14:28:49,000;95;08.06.2022 14:29:07,684;1811;;;___N;DOMESTIC;DOMESTIC;true;2978;4510;2350;2733;WITHDRAWAL_NATIONAL;CashOutEmv;4971;;6366;;;;;;;;;;;;;;;;;;;;;;8222;1868;2231;11805;1;;11808;14543;17372;;;;;;;;;;;;;;OK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:28:49,508;3;0;;;692;;431;22;;;;;;;;564;;548;;518;;;;;;;;;;78;;;;
08.06.2022 14:29:09,000;96;08.06.2022 14:29:18,932;1851;;;___N;DOMESTIC;DOMESTIC;true;4071;;2602;3836;WITHDRAWAL_NATIONAL;CashOutEmv;;;;;;;;;;;;;;;;;;;;;;;;;;1933;2370;;;;;;;;;;;;;;;;;;;;CNCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;08.06.2022 14:29:15,866;CUSTOMER_CANCEL;CUSTOMER_ENTERING_PIN;08.06.2022 14:29:09,081;0;0;;;270;;601;;;;;;;;;;;;;729;;;;;;;;;;84;;;;
